subset,observation_index
1,3
1,6
1,21
1,30
1,46
1,49
1,53
1,60
1,67
1,71
1,86
1,87
1,102
1,104
1,111
1,116
1,117
1,123
1,125
1,131
1,132
1,136
1,138
1,140
1,142
1,143
1,145
1,147
1,149
1,150
1,159
1,164
1,167
1,175
1,186
1,196
1,202
1,208
1,210
1,214
1,221
1,231
1,237
1,238
1,239
1,245
1,248
1,252
1,254
1,269
1,270
1,276
1,279
1,281
1,284
1,287
1,290
1,293
1,296
1,304
1,310
1,322
1,323
1,330
1,331
1,337
1,341
1,342
1,345
1,346
1,350
1,355
1,363
1,373
1,379
1,387
1,391
1,395
1,407
1,415
1,418
1,423
1,424
1,425
1,432
1,438
1,444
1,445
1,450
1,452
1,454
1,456
1,462
1,473
1,475
1,478
1,484
1,486
1,496
1,512
1,513
1,518
1,527
1,531
1,532
1,535
1,536
1,538
1,544
1,547
1,552
1,557
1,579
1,584
1,594
1,616
1,617
1,619
1,621
1,622
1,624
1,630
1,638
1,649
1,651
1,654
1,655
1,658
1,668
1,669
1,672
1,679
1,683
1,684
1,692
1,695
1,703
1,714
1,724
1,725
1,726
1,731
1,733
1,739
1,751
1,754
1,766
1,767
1,775
1,778
1,784
1,786
1,788
1,802
1,814
1,815
1,823
1,843
1,844
1,846
1,850
1,852
1,854
1,861
1,865
1,867
1,873
1,878
1,879
1,896
1,903
1,908
1,911
1,925
1,930
1,932
1,958
1,971
1,976
2,9
2,11
2,13
2,16
2,27
2,28
2,43
2,52
2,68
2,78
2,82
2,92
2,93
2,96
2,98
2,119
2,127
2,128
2,129
2,133
2,139
2,141
2,146
2,152
2,157
2,158
2,177
2,182
2,188
2,190
2,191
2,198
2,201
2,204
2,205
2,213
2,220
2,225
2,226
2,236
2,240
2,243
2,246
2,265
2,268
2,295
2,297
2,298
2,299
2,319
2,333
2,334
2,335
2,343
2,349
2,357
2,359
2,360
2,365
2,375
2,380
2,413
2,427
2,453
2,457
2,459
2,460
2,463
2,466
2,471
2,472
2,476
2,483
2,485
2,491
2,492
2,493
2,501
2,503
2,504
2,507
2,510
2,523
2,524
2,530
2,551
2,558
2,561
2,565
2,566
2,569
2,571
2,576
2,577
2,588
2,603
2,606
2,607
2,626
2,634
2,646
2,648
2,650
2,663
2,674
2,710
2,732
2,734
2,736
2,740
2,743
2,749
2,752
2,757
2,759
2,761
2,771
2,779
2,780
2,791
2,796
2,804
2,829
2,832
2,840
2,842
2,845
2,847
2,848
2,853
2,858
2,862
2,864
2,870
2,875
2,880
2,881
2,887
2,891
2,899
2,904
2,905
2,907
2,917
2,926
2,931
2,937
2,939
2,950
2,952
2,962
2,966
2,967
3,12
3,32
3,37
3,56
3,61
3,63
3,69
3,72
3,73
3,74
3,76
3,80
3,83
3,85
3,88
3,95
3,105
3,106
3,130
3,144
3,151
3,163
3,168
3,169
3,172
3,181
3,192
3,197
3,203
3,216
3,217
3,229
3,241
3,244
3,251
3,258
3,263
3,272
3,280
3,283
3,294
3,301
3,307
3,317
3,328
3,339
3,340
3,344
3,352
3,354
3,367
3,369
3,383
3,386
3,388
3,394
3,396
3,402
3,405
3,408
3,410
3,416
3,429
3,436
3,449
3,451
3,455
3,458
3,464
3,468
3,474
3,481
3,499
3,506
3,509
3,515
3,533
3,543
3,546
3,553
3,563
3,575
3,578
3,583
3,585
3,586
3,587
3,590
3,593
3,599
3,600
3,611
3,614
3,627
3,633
3,641
3,642
3,644
3,661
3,664
3,670
3,673
3,682
3,686
3,689
3,711
3,713
3,715
3,723
3,738
3,745
3,755
3,756
3,760
3,782
3,800
3,801
3,808
3,810
3,812
3,816
3,819
3,831
3,837
3,838
3,839
3,851
3,863
3,866
3,868
3,888
3,895
3,901
3,902
3,912
3,914
3,919
3,921
3,923
3,924
3,949
3,963
3,964
3,965
3,969
4,2
4,5
4,18
4,23
4,24
4,26
4,29
4,39
4,45
4,48
4,57
4,59
4,62
4,66
4,77
4,89
4,90
4,97
4,100
4,108
4,110
4,114
4,118
4,121
4,134
4,148
4,153
4,154
4,156
4,165
4,171
4,174
4,176
4,178
4,180
4,183
4,184
4,185
4,193
4,195
4,199
4,200
4,206
4,207
4,211
4,212
4,227
4,235
4,247
4,249
4,253
4,255
4,257
4,259
4,260
4,264
4,271
4,273
4,277
4,285
4,286
4,289
4,302
4,306
4,311
4,325
4,329
4,353
4,364
4,371
4,377
4,389
4,393
4,397
4,398
4,399
4,406
4,409
4,411
4,412
4,422
4,431
4,437
4,440
4,447
4,467
4,470
4,477
4,479
4,488
4,489
4,497
4,498
4,502
4,505
4,508
4,511
4,514
4,516
4,519
4,522
4,528
4,537
4,539
4,541
4,542
4,549
4,555
4,556
4,559
4,562
4,564
4,567
4,570
4,572
4,574
4,580
4,581
4,589
4,591
4,595
4,596
4,597
4,598
4,601
4,605
4,613
4,615
4,618
4,623
4,625
4,636
4,639
4,640
4,643
4,647
4,652
4,656
4,659
4,660
4,667
4,671
4,678
4,690
4,691
4,698
4,699
4,706
4,708
4,709
4,712
4,716
4,717
4,718
4,727
4,742
4,744
4,747
4,758
4,772
4,773
4,783
4,787
4,789
4,792
4,793
4,794
4,803
4,805
4,811
4,813
4,817
4,820
4,824
4,828
4,830
4,835
4,836
4,855
4,876
4,882
4,920
4,929
4,936
4,938
4,941
4,942
4,947
4,956
4,960
4,961
4,970
5,7
5,8
5,10
5,14
5,17
5,20
5,33
5,34
5,36
5,38
5,40
5,41
5,51
5,55
5,64
5,70
5,75
5,81
5,84
5,94
5,109
5,112
5,113
5,115
5,120
5,126
5,135
5,155
5,160
5,161
5,162
5,166
5,187
5,194
5,218
5,223
5,230
5,233
5,234
5,242
5,250
5,256
5,262
5,266
5,274
5,275
5,291
5,303
5,314
5,315
5,321
5,347
5,348
5,356
5,361
5,366
5,368
5,372
5,376
5,378
5,381
5,384
5,385
5,390
5,400
5,401
5,403
5,414
5,417
5,419
5,420
5,428
5,433
5,435
5,441
5,446
5,461
5,469
5,487
5,490
5,494
5,495
5,517
5,525
5,529
5,540
5,548
5,554
5,560
5,573
5,582
5,602
5,604
5,608
5,609
5,610
5,612
5,620
5,631
5,635
5,645
5,662
5,666
5,677
5,680
5,685
5,687
5,688
5,694
5,696
5,701
5,702
5,705
5,719
5,720
5,721
5,722
5,728
5,730
5,735
5,741
5,748
5,750
5,753
5,762
5,763
5,764
5,765
5,768
5,769
5,770
5,774
5,776
5,777
5,781
5,785
5,790
5,795
5,797
5,806
5,818
5,821
5,825
5,826
5,827
5,833
5,834
5,841
5,856
5,857
5,859
5,860
5,871
5,874
5,883
5,884
5,885
5,889
5,894
5,897
5,900
5,906
5,909
5,915
5,922
5,927
5,934
5,935
5,943
5,944
5,945
5,946
5,948
5,955
5,957
5,959
5,972
5,974
5,975
6,1
6,4
6,15
6,19
6,22
6,25
6,31
6,35
6,42
6,44
6,47
6,50
6,54
6,58
6,65
6,79
6,91
6,99
6,101
6,103
6,107
6,122
6,124
6,137
6,170
6,173
6,179
6,189
6,209
6,215
6,219
6,222
6,224
6,228
6,232
6,261
6,267
6,278
6,282
6,288
6,292
6,300
6,305
6,308
6,309
6,312
6,313
6,316
6,318
6,320
6,324
6,326
6,327
6,332
6,336
6,338
6,351
6,358
6,362
6,370
6,374
6,382
6,392
6,404
6,421
6,426
6,430
6,434
6,439
6,442
6,443
6,448
6,465
6,480
6,482
6,500
6,520
6,521
6,526
6,534
6,545
6,550
6,568
6,592
6,628
6,629
6,632
6,637
6,653
6,657
6,665
6,675
6,676
6,681
6,693
6,697
6,700
6,704
6,707
6,729
6,737
6,746
6,798
6,799
6,807
6,809
6,822
6,849
6,869
6,872
6,877
6,886
6,890
6,892
6,893
6,898
6,910
6,913
6,916
6,918
6,928
6,933
6,940
6,951
6,953
6,954
6,968
6,973
